System Info,v2.00
Aircraft Report Version,Date,Time,GDU Software Version,Airframe Name,System ID,System Part Number,System Version,Cockpit Ref Guide Part Number,Aircraft Identifier,Aircraft Serial Number,Flight Time (seconds)
"3","07-06-2022","13:54:01","21.50.5","Cirrus SR22 Turbo","000000025B289D04","006-B2647-N8","2647.N8","GPN 190-02184-XX","N122DR ","","734350"

Product Data,v2.00
LRU,Status,Serial Number,SW Part Number,Version,Product String,Description,Model Number,Functions Present,Parent LRU,Power-on Count,Power-on Time
"PFD 1 GARMIN Public Key","N/A","","006-D6426-02","2.02","","Garmin Public Key Region","1","134225985","PFD 1",,
"PFD 1 FPGA","N/A","","N/A","","","","0","0","PFD 1",,
"WX500","OK","","STORMSCOPE","1.04 ","","","0","0",,,

Database Data,v2.00
Database,Status,Description,Cycle,Part Number,Version,Effective Date,Expiration Date
"APT Directory DB (MFD 1)","Success","International","22D3","006-D1430-22","1.01","05-19-2022","07-14-2022"
"AVTN STDBY DB (MFD 1)","Success","INTL-ADB2","2205","006-D5159-02   ","","05-19-2022","06-16-2022"
"Aeronautical Charts (MFD 1)","Success","Australia IFR/VFR Charts","2203","","2.0","03-24-2022","01-01-1990"
"Airport TRN DB (MFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"Autoland Notice (MFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"Aviation DB (MFD 1)","Success","INTL-ADB2","2206","006-D5159-02   ","","06-16-2022","07-14-2022"
"Base Map (MFD 1)","Success","Worldwide Basemap 20M2","20M2","","5.18","01-01-1990","01-01-1990"
"Charts CRCs (MFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"Checklist (MFD 1)","Success","Checklist","","","","01-01-1990","01-01-1990"
"FliteCharts DB (MFD 1)","Success","FliteCharts","2206","","","06-16-2022","07-14-2022"
"FliteCharts DB (MFD 1)","Success","FliteCharts","2206","","","06-16-2022","07-14-2022"
"Obstacle DB (MFD 1)","Success","Worldwide Fixed-Wing","22B3","006-D4731-15","1.50","05-19-2022","07-14-2022"
"ROAAS Database (MFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"SafeTaxi Map (MFD 1)","Success","FullCoverage SafeTaxi 22S3","22S3","","3.09","05-19-2022","07-14-2022"
"Terrain DB (MFD 1)","Success","Worldwide","20T1","006-D2659-01","3.00","04-08-2020","01-01-1990"
"APT Directory DB (PFD 1)","Success","International","22D3","006-D1430-22","1.01","05-19-2022","07-14-2022"
"AVTN STDBY DB (PFD 1)","Success","INTL-ADB2","2205","006-D5159-02   ","","05-19-2022","06-16-2022"
"Aeronautical Charts (PFD 1)","Success","US IFR/VFR Charts","1811","","2.0","10-11-2018","01-01-1990"
"Airport TRN DB (PFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"Autoland Notice (PFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"Aviation DB (PFD 1)","Success","INTL-ADB2","2206","006-D5159-02   ","","06-16-2022","07-14-2022"
"Base Map (PFD 1)","Success","Worldwide Basemap 20M2","20M2","","5.18","01-01-1990","01-01-1990"
"Charts CRCs (PFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"Checklist (PFD 1)","Success","Checklist","","","","01-01-1990","01-01-1990"
"FliteCharts DB (PFD 1)","Success","FliteCharts","1811","","","10-11-2018","11-08-2018"
"FliteCharts DB (PFD 1)","Success","FliteCharts","1811","","","10-11-2018","11-08-2018"
"Obstacle DB (PFD 1)","Success","Worldwide Fixed-Wing","22B3","006-D4731-15","1.50","05-19-2022","07-14-2022"
"ROAAS Database (PFD 1)","Missing","","","","","01-01-1990","01-01-1990"
"SafeTaxi Map (PFD 1)","Success","FullCoverage SafeTaxi 22S3","22S3","","3.09","05-19-2022","07-14-2022"
"Terrain DB (PFD 1)","Success","Worldwide","20T1","006-D2659-01","3.00","04-08-2020","01-01-1990"

Configuration IDs,v2.00
Type,Actual,Expected
"Fleet","240ea290","240ea290"
"Aircraft","c4c03728","c4c03728"

Transaction Log,v2.00
---
Activity Date:,"October-21-2021 10:31:30"
Loader Image:,"None"
Loader Group:,"None"
Loader Item:,"CNFRM CFG"
Loader Status:,"AIRCRAFT ID UPDATED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0x240EA290"
Product Name,Status,Transaction ID
---
Activity Date:,"October-21-2021 10:27:47"
Loader Image:,"010-00330-KA"
Loader Group:,"Enable_SurfaceWatch"
Loader Item:,"SurfaceWatch Feature Enable"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0x240EA290"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xA625BF3F"
---
Activity Date:,"October-21-2021 10:26:49"
Loader Image:,"Card-e5c0"
Loader Group:,"Configuration Files"
Loader Item:,"Enable SVS Single PFD"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0x5E25E466"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xFFFFFFFF"
---
Activity Date:,"October-21-2021 10:25:38"
Loader Image:,"Card-7d77"
Loader Group:,"Configuration Files"
Loader Item:,"Enable TAWS"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0xDD808C47"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xFFFFFFFF"
---
